[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 11 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 12 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 12 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 11 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 18 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 21 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 15 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 3 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 2 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 3 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 8 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
